business_id,name,city,state,total_reviews,positive_reviews,negative_reviews,avg_sentiment_score,positive_percent
-02xFuruu85XmDn2xiynJw,Family Vision Center,Tucson,AZ,1,1,0,0.9997993111610413,100.0
-2Axhv9AZ_n7qjQefECpVw,Greek Sotir Grill,Hermitage,TN,1,1,0,0.9882871508598328,100.0
-3AooxIkg38UyUdlz5oXdw,Chase Restaurant,Santa Barbara,CA,1,1,0,0.999825656414032,100.0
-ATiAtTikuGuqvaW2O6tNA,Marathon,Philadelphia,PA,4,2,2,0.9886565953493118,50.0
-D_L4GHXJQvy2wv0RkrupA,Church's Chicken,St. Louis,MO,1,0,1,0.9996906518936157,0.0
-K0zTgGyxo-AeSkcV0IVaA,Spiro's Restaurant,Chesterfield,MO,2,1,1,0.999317079782486,50.0
-OIUunijjcq_ZzyyQhPPFQ,Zorba's Taverna,Philadelphia,PA,4,4,0,0.9685513973236084,100.0
-Or44IdY51Ukd618kikmtA,Federal Donuts,Philadelphia,PA,2,2,0,0.9872011244297028,100.0
-SP57kb0YH5OVygMepc-mg,Mailsource,Springfield,PA,1,1,0,0.9996533393859863,100.0
-TCa3KBib07_1ko9L2Z0fQ,Yeoman's Cask and Lion,St. Petersburg,FL,1,1,0,0.9998155236244202,100.0
-Tnsc_b8dsWuAq1wQugKZA,Mi Tenampa,Indianapolis,IN,1,0,1,0.99620121717453,0.0
-V0vIgo6196MDn_x3ZaYmA,La Creperie Cafe,Philadelphia,PA,2,1,1,0.9960565268993378,50.0
-ZaUz6ziBgs0zKZ2_wBPxg,Crown Hyundai,St Petersburg,FL,1,1,0,0.9998180270195007,100.0
-bGw8ARHQucKWEHEkxpGFw,The Daily Bread Bakery & Cafe,St. Louis,MO,1,1,0,0.9998776912689209,100.0
-cE9GrThz6HHn2zdpoqY_w,Cracker Barrel Old Country Store,Mount Laurel,NJ,1,1,0,0.9998358488082886,100.0
-d8B04ueyxADRutlcHYewQ,Hickory Kitchen,Doylestown,PA,2,1,1,0.998650997877121,50.0
-dsxu0V5X7OD17i8HcQovg,Cinnaholic,Meridian,ID,1,1,0,0.9998847246170044,100.0
-e25gkrazUCBqcSdgsmHGQ,Papa John's Pizza,Brentwood,TN,1,1,0,0.7951386570930481,100.0
-eBDRVn1mPwHFCF_hry20Q,Flatbreads,Tampa,FL,1,1,0,0.9917259216308594,100.0
-gjfaNYXAVqk3N1fhQmB6Q,Cabelas,Edmonton,AB,1,0,1,0.9851447343826294,0.0
-hVMfjPPEsSnga_gnYJx2w,Flowing Tide Pub 3,Reno,NV,1,0,1,0.9998002648353577,0.0
-ikBycdroyTLDBHR9aC3HA,Sukho Thai,Nashville,TN,1,0,1,0.997657299041748,0.0
-kAaeJxXCtLNAo3DosoXXA,The Burg Diner,Saint Petersburg,FL,1,1,0,0.9998735189437866,100.0
-mq1DwgcLU96PQbmcv3jRQ,P J's Oyster Bar,Indian Rocks Beach,FL,1,1,0,0.9965207576751709,100.0
-nJtYj93GiX1N615LlNOrQ,Blue Dream Vapor,Voorhees Township,NJ,1,1,0,0.9998496770858765,100.0
-o6bah2j6_IH9pkwANXcLA,Fireside Pizza Cafe,Palm Harbor,FL,1,1,0,0.999639630317688,100.0
-r4K0ZM0cQ-cjLlH3S-LAA,Helzberg Diamonds,Reno,NV,1,1,0,0.994584858417511,100.0
-rqoQdOR3OPNy0j9SX0V1w,Woodbury Nissan,Woodbury,NJ,1,0,1,0.9997135996818542,0.0
-uAXBDajcvIe-IsLWP72WA,Hilton Garden Inn Tampa Northwest/Oldsmar,Oldsmar,FL,1,1,0,0.9998024106025696,100.0
0-Tim4ucmy8bNugnzKXG8g,Diamond Eyez Nola,New Orleans,LA,1,1,0,0.999554455280304,100.0
00Vn4VUTWl71_cFPziRQNQ,Crab & Claw,Philadelphia,PA,1,1,0,0.9993791580200195,100.0
05471AhNLv1NxKoaVs4gYw,Sam's Brick Oven Pizza,Ardmore,PA,1,1,0,0.9998749494552612,100.0
0F2jyiUdl8CSKQeR1KwVig,Crooked Eye Brewery,Hatboro,PA,1,1,0,0.9998095631599426,100.0
0JkPOvTyjnx2NbpYQBIkwA,Db Shoes,Reno,NV,1,0,1,0.9994426369667053,0.0
0cMyW5RpRbr4-criIhZ8Pg,Wild Birds Unlimited,Cherry Hill,NJ,1,0,1,0.8236072659492493,0.0
0hIXH9jMdHov1VrLC8ujUg,Al's Finger Licking Good Bar-B-Que,Tampa,FL,2,2,0,0.9998319447040558,100.0
0pL-eq0ufX5jMDgVAvoHHw,Sakura,Sicklerville,NJ,1,0,1,0.9986647367477417,0.0
0qu0fNTOsSmuREYVIMPuIQ,Cold Spring Tavern,Santa Barbara,CA,3,3,0,0.9947188893953959,100.0
0wQCEcpZ57TmTm6EmEDsIw,Hendricks BBQ,St Charles,MO,5,3,2,0.9531396150588989,60.0
0z-unL2UdJn40PYiou2bnQ,Manny's Sicilia Pizza,Palmyra,NJ,1,1,0,0.9996500015258789,100.0
0zWAsCBzvuCI_Ydx7yH1Jw,Shing Kee,Philadelphia,PA,1,1,0,0.9780749082565308,100.0
14JwHj1Cxs5bkkJg5iuPog,Alpine Lock and Key,Reno,NV,1,0,1,0.9954066276550293,0.0
17Y8circEnkMMXKfLo8Ztg,Bitar's,Philadelphia,PA,1,1,0,0.999822199344635,100.0
196CWwMAtAcA21jYiMyRzg,Cafe Pontalba,New Orleans,LA,2,0,2,0.9986192584037781,0.0
19WNP2xXcsbWGCysShnupg,Lisa Nails & Spa,Hatboro,PA,1,1,0,0.9997405409812927,100.0
1ENdYUfYzDu9yyI3-MVklA,Boostin' Bowls,Philadelphia,PA,1,0,1,0.9916231036186218,0.0
1Efad30BdOeqqjX2d6P4sw,Ohana Cafe,Palm Harbor,FL,1,1,0,0.9998778104782104,100.0
1FURjeGJi_LBXcJQg8eskw,Padaro Beach Grill,Carpinteria,CA,5,4,1,0.9172327637672424,80.0
1Kmlr4Zm4_4kT2BwTlZvgg,Brows To Brazilian Wax & Skincare Salon,Santa Barbara,CA,1,1,0,0.9982994198799133,100.0
1LVMlrAQeqLgiwFu06kFfw,The Workshop Eatery,Edmonton,AB,1,1,0,0.9998751878738403,100.0
1LlTmir5rr__6xjel5XUQA,USA Baby & Kids,Franklin,TN,1,1,0,0.9996527433395386,100.0
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,Saint Louis,MO,1,1,0,0.8498998284339905,100.0
1NM_by6H29DNqJwQWIliZw,Urban Oasis Hydroponic Farm,Tampa,FL,1,1,0,0.9998552799224854,100.0
1PYqegX1SruVbkCsRF-4lA,Opry Backstage Grill,Nashville,TN,2,2,0,0.9998101890087128,100.0
1P_mGUY1PyPq7_ZabrzpBw,Carmine's Steakhouse,Saint Louis,MO,1,0,1,0.9892644286155701,0.0
1Pxg1AMf0rEn9QF__ZYoWw,Samurai Sushi,Nashville,TN,2,2,0,0.999213844537735,100.0
1UNorskttXSWuEcgzKzXcA,Xochitl,Philadelphia,PA,2,2,0,0.999279260635376,100.0
1XttS5NTqLxhyNb-Rt2fOQ,Keith's Oaks Bar & Grill,Brandon,FL,1,1,0,0.9998173117637634,100.0
1Ye_elsSB-XjKgWAHDwPbw,Applebee's Grill + Bar,New Castle,DE,1,0,1,0.9974863529205322,0.0
1_BzX6o0O6w_9yx9NczMrg,Wawa,Philadelphia,PA,1,1,0,0.9993674159049988,100.0
1_hDCN3iioFR3XnUr32ZtA,Dooners,Saint Petersburg,FL,1,0,1,0.9989237189292908,0.0
1_nd9Hcswx4K4FmZZQPMVw,Rosemary's Grill,Langhorne,PA,1,1,0,0.999049961566925,100.0
1aOjfsDJOZMCKOi0xro3Xw,Feel Better Reflexology Center,Philadelphia,PA,1,1,0,0.9986411929130554,100.0
1aj1hnqPt3rqoB8tVRHLEA,Hotel Monteleone,New Orleans,LA,3,3,0,0.9993429978688558,100.0
1ddqdY_piKp-abaZ-bGRSA,Crescent City Steak House,New Orleans,LA,2,2,0,0.9988575279712677,100.0
1feuZITxuTrl9mr7V11kwQ,Frost Gelato,Tucson,AZ,1,1,0,0.9998053908348083,100.0
1hQobBzUoF-H26URYtT2WA,Philadelphia Auto Body,Philadelphia,PA,2,2,0,0.9998651742935181,100.0
1ig2AJg8A08_XA3pFAMiRQ,Stoney River Steakhouse and Grill,Franklin,TN,1,1,0,0.9983165264129639,100.0
1n1TzHTD2xLcyOPGV4b2-w,Peak Performance Chiropractic,Reno,NV,1,1,0,0.9995847344398499,100.0
1w1H1kYUN60zpfdP-0qmGQ,Machismo Burrito Bar,Philadelphia,PA,1,0,1,0.9991957545280457,0.0
1y8Y1LLHjkHuuI8mizESZg,LEX Nightclub,Reno,NV,1,1,0,0.9312846660614014,100.0
2-XK9zDgSKqOwSyyMwgjzA,Alamo Rent A Car,Clearwater,FL,1,0,1,0.9995520710945129,0.0
23wO6ic61V41UfGz9eCeQQ,Nothing Bundt Cakes,Tucson,AZ,1,1,0,0.9998613595962524,100.0
26M-3o8bL-9MWAWKk3yjDQ,Freedom Smoke USA,Tucson,AZ,1,1,0,0.9996973276138306,100.0
26Zx69vOllucV5OsHXst9A,Braid Masters,Philadelphia,PA,1,1,0,0.922458827495575,100.0
29YqJwOGEuAWqlHZxMc1OA,Paradise Cafe,Santa Barbara,CA,1,1,0,0.9993367791175842,100.0
2FnoLyEO0nq7g2Wz8x7Z5A,honeygrow,Bala Cynwyd,PA,1,1,0,0.8151016235351562,100.0
2JPz-Kjps4FgTdPva8ZFEw,Learning Express Toys & Gifts - Richboro,Richboro,PA,1,1,0,0.9994059801101685,100.0
2KIDQyTh-HzLxOUEDqtDBg,Mazzaro's Italian Market,Saint Petersburg,FL,5,5,0,0.9972315192222595,100.0
2Q1R2OhBbAQ581vK_r7NhA,Ooka Restaurant,Willow Grove,PA,1,1,0,0.9997708201408386,100.0
2S_CEQYBbp8RO1bJm_1mng,The Saint,New Orleans,LA,3,2,1,0.9919653932253519,66.66666666666667
2W0P6hXCbE6EgP5R6y9eBw,Pearl Street Pizzeria & Pub,Indianapolis,IN,1,1,0,0.9998586177825928,100.0
2XYPFRm7teCUr3eGsB2-qw,Thai Orchid,Blue Bell,PA,1,1,0,0.9991031885147095,100.0
2YOLYLqNr-KOsPQVjTtYjQ,JOANN Fabrics and Crafts,Saint Petersburg,FL,1,0,1,0.9991105198860168,0.0
2YTJa7DDWx2TQmHu-tPXlg,MOXI - The Wolf Museum Of Exploration + Innovation,Santa Barbara,CA,1,1,0,0.9997225403785706,100.0
2Zhkl-UenNSc7XkdeG112g,Famous Famiglia,Nashville,TN,1,0,1,0.9956028461456299,0.0
2bl6G1zgXUHbMGwEocqMSg,Daves Dogs - Cart,Santa Barbara,CA,1,1,0,0.9720811247825623,100.0
2brttsiFBlW8070dsPzQDA,First Watch,Indianapolis,IN,1,1,0,0.9948242902755737,100.0
2cF80ccNAPwhhHtht543Kw,Harold's Soul Food & Chicken,Indianapolis,IN,1,1,0,0.9997581839561462,100.0
2dPiEMXII3wF4uNCeWDEpg,Clayton Plaza Hotel,Clayton,MO,2,1,1,0.9912334382534027,50.0
2er_V-oAd7IbQ5YTY56r7A,Bareburger - Midtown Village,Philadelphia,PA,4,4,0,0.9757205992937088,100.0
2fTfpN5SggLgW4LlzptMPg,Tzin Wine & Tapas,Edmonton,AB,1,1,0,0.9998735189437866,100.0
2iQucreJtTqbEsLczhsgrA,India Sizzling II,Indianapolis,IN,1,1,0,0.9985589385032654,100.0
2kWw4GEEZdSPuTc6KV_aRA,Pizza Hut,Indianapolis,IN,1,0,1,0.9990338087081909,0.0
2kuhZOrWcLYe_XePccr4lA,Cappy's Pizzeria- Seminole Heights,Tampa,FL,1,0,1,0.9996415376663208,0.0
2nk4hq2oRfym8ROQ5iS47g,The Red Piano,Santa Barbara,CA,2,1,1,0.906356930732727,50.0
2oNlM0ANjE8JB0jEwY-mtw,Market Blooms,Philadelphia,PA,1,1,0,0.999822199344635,100.0
2oav5QoWgnvTI2gO5xFMjw,Kimpton Hotel Monaco Philadelphia,Philadelphia,PA,1,0,1,0.9966529011726379,0.0
2rQFgavS-942RapZTBSBTw,Gullifty's Restaurant,Bryn Mawr,PA,2,1,1,0.9855559468269348,50.0
2x3wM06LEbaAR81AeKk44w,National Pizza Company,Saint Louis,MO,1,1,0,0.9998515844345093,100.0
33JlrWf0kmHd2VzW58Wp0g,Blondie's Coffee and Wine Bar,Saint Louis,MO,3,2,1,0.9992296099662781,66.66666666666667
34Eqv8jXgxg_EEwcsNgeeg,Backyard Bowls,Santa Barbara,CA,1,1,0,0.9996700286865234,100.0
35BuVcbDU7D9mjmruxmnEw,McDonald's,Tampa,FL,1,0,1,0.9983280301094055,0.0
35XA5-HmCdlGig97Lf3WUg,Tim Hortons,Edmonton,AB,1,0,1,0.9831562638282776,0.0
37BpNvlEAT6WVGsksrHbBQ,Batter'd & Fried Boston Seafood House,Nashville,TN,1,1,0,0.8835906386375427,100.0
39ATA1juYzPDCI0OS5Htzw,mudHoney salon,Edmonton,AB,1,0,1,0.9992501139640808,0.0
